session_id,outcome,color
12102299,7,T
12102300,0,Bonus
12102301,6,T
12102302,6,T
12102303,8,CT
12102304,5,T
12102305,13,CT
12102306,11,CT
12102307,1,T
12102308,10,CT
12102309,2,T
12102310,6,T
12102311,8,CT
12102312,9,CT
12102313,5,T
12102314,11,CT
12102315,5,T
12102316,12,CT
12102317,5,T
12102318,2,T
12102319,0,Bonus
12102320,4,T
12102321,1,T
12102322,3,T
12102323,13,CT
12102324,13,CT
12102325,7,T
12102326,14,CT
12102327,4,T
12102328,9,CT
12102329,7,T
12102330,2,T
12102331,1,T
12102332,12,CT
12102333,1,T
12102334,5,T
12102335,4,T
12102336,8,CT
12102337,11,CT
12102338,3,T
12102339,10,CT
12102340,12,CT
12102341,8,CT
12102342,5,T
12102343,4,T
12102344,13,CT
12102345,13,CT
12102346,4,T
12102347,6,T
12102348,9,CT
12102349,13,CT
12102350,13,CT
12102351,8,CT
12102352,13,CT
12102353,10,CT
12102354,13,CT
12102355,8,CT
12102356,3,T
12102357,7,T
12102358,13,CT
12102359,10,CT
12102360,5,T
12102361,3,T
12102362,4,T
12102363,6,T
12102364,5,T
12102365,7,T
12102366,2,T
12102367,7,T
12102368,14,CT
12102369,14,CT
12102370,9,CT
12102371,13,CT
12102372,2,T
12102373,3,T
12102374,9,CT
12102375,1,T
12102376,3,T
12102377,0,Bonus
12102378,8,CT
12102379,9,CT
12102380,12,CT
12102381,13,CT
12102382,5,T
12102383,2,T
12102384,9,CT
12102385,4,T
12102386,12,CT
12102387,14,CT
12102388,8,CT
12102389,4,T
12102390,8,CT
12102391,0,Bonus
12102392,13,CT
12102393,14,CT
12102394,8,CT
12102395,4,T
12102396,1,T
12102397,7,T
12102398,9,CT
12102399,5,T
12102400,3,T
12102401,11,CT
12102402,3,T
12102403,3,T
12102404,14,CT
12102405,6,T
12102406,10,CT
12102407,0,Bonus
12102408,4,T
12102409,8,CT
12102410,10,CT
12102411,8,CT
12102412,14,CT
12102413,11,CT
12102414,9,CT
12102415,12,CT
12102416,12,CT
12102417,9,CT
12102418,14,CT
12102419,6,T
12102420,0,Bonus
12102421,0,Bonus
12102422,2,T
12102423,0,Bonus
12102424,11,CT
12102425,1,T
12102426,11,CT
12102427,9,CT
12102428,13,CT
12102429,6,T
12102430,10,CT
12102431,6,T
12102432,10,CT
12102433,7,T
12102434,5,T
12102435,13,CT
12102436,4,T
12102437,3,T
12102438,3,T
12102439,10,CT
12102440,9,CT
12102441,12,CT
12102442,8,CT
12102443,9,CT
12102444,7,T
12102445,14,CT
12102446,6,T
12102447,6,T
12102448,10,CT
12102449,5,T
12102450,2,T
12102451,12,CT
12102452,14,CT
12102453,4,T
12102454,8,CT
12102455,8,CT
12102456,14,CT
12102457,4,T
12102458,13,CT
12102459,3,T
12102460,13,CT
12102461,12,CT
12102462,6,T
12102463,4,T
12102464,2,T
12102465,13,CT
12102466,2,T
12102467,8,CT
12102468,14,CT
12102469,0,Bonus
12102470,10,CT
12102471,3,T
12102472,6,T
12102473,13,CT
12102474,7,T
12102475,2,T
12102476,0,Bonus
12102477,10,CT
12102478,10,CT
12102479,2,T
12102480,5,T
12102481,6,T
12102482,6,T
12102483,1,T
12102484,13,CT
12102485,10,CT
12102486,4,T
12102487,1,T
12102488,7,T
12102489,5,T
12102490,1,T
12102491,7,T
12102492,6,T
12102493,8,CT
12102494,8,CT
12102495,8,CT
12102496,4,T
12102497,7,T
12102498,8,CT
12102499,8,CT
12102500,7,T
12102501,6,T
12102502,3,T
12102503,6,T
12102504,1,T
12102505,0,Bonus
12102506,5,T
12102507,3,T
12102508,12,CT
12102509,12,CT
12102510,9,CT
12102511,4,T
12102512,7,T
12102513,12,CT
12102514,13,CT
12102515,2,T
12102516,6,T
12102517,13,CT
12102518,11,CT
12102519,5,T
12102520,4,T
12102521,1,T
12102522,11,CT
12102523,5,T
12102524,6,T
12102525,1,T
12102526,7,T
12102527,12,CT
12102528,6,T
12102529,13,CT
12102530,0,Bonus
12102531,5,T
12102532,1,T
12102533,7,T
12102534,14,CT
12102535,8,CT
12102536,14,CT
12102537,6,T
12102538,2,T
12102539,3,T
12102540,3,T
12102541,6,T
12102542,7,T
12102543,4,T
12102544,5,T
12102545,10,CT
12102546,12,CT
12102547,5,T
12102548,13,CT
12102549,10,CT
12102550,4,T
12102551,1,T
12102552,10,CT
12102553,10,CT
12102554,3,T
12102555,2,T
12102556,13,CT
12102557,14,CT
12102558,6,T
12102559,0,Bonus
12102560,6,T
12102561,4,T
12102562,13,CT
12102563,2,T
12102564,7,T
12102565,5,T
12102566,10,CT
12102567,1,T
12102568,4,T
12102569,1,T
12102570,12,CT
12102571,2,T
12102572,12,CT
12102573,4,T
12102574,8,CT
12102575,9,CT
12102576,1,T
12102577,6,T
12102578,9,CT
12102579,8,CT
12102580,0,Bonus
12102581,6,T
12102582,0,Bonus
12102583,0,Bonus
12102584,3,T
12102585,4,T
12102586,4,T
12102587,11,CT
12102588,12,CT
12102589,9,CT
12102590,5,T
12102591,14,CT
12102592,9,CT
12102593,7,T
12102594,7,T
12102595,12,CT
12102596,8,CT
12102597,6,T
12102598,5,T
12102599,11,CT
12102600,1,T
12102601,13,CT
12102602,14,CT
12102603,14,CT
12102604,1,T
12102605,7,T
12102606,11,CT
12102607,5,T
12102608,1,T
12102609,10,CT
